"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"370",25.621429,25.857143,25,25.038572,222091800,22.445415
"371",24.962856,25.125713,24.508572,24.737143,161445200,22.175205
"372",24.624287,25.111429,24.518572,24.75,155486800,22.186728
"373",24.944286,25.547142,24.84,25.341429,161112700,22.716906
"374",24.867144,24.977142,24.001429,24.037144,217402500,21.547697
"375",23.787144,24.367144,23.450001,24.298571,260562400,21.782051
"376",24.312857,24.571428,23.802856,23.92,171049200,21.442688
"377",23.461428,24.959999,23.428572,24.954287,277820200,22.369856
"378",25.028572,25.35,24.025715,24.025715,209379800,21.537457
"379",24.227142,24.595715,23.678572,24.302856,130840500,21.785892
"380",24.737143,25.304285,24.557142,25.022858,205097900,22.431334
"381",25.057142,25.671429,24.677143,25.65,222087600,22.993515
"382",25.742857,25.844286,24.877142,24.892857,223944000,22.314789
"383",24.988571,25.334286,24.481428,25.232857,210172200,22.619579
"384",25.067142,25.301428,24.428572,24.654285,232502900,22.100929
"385",25.605715,25.614286,24.725714,24.84,221513600,22.267403
"386",24.639999,24.82,23.77,24.234285,260010800,21.724428
"387",24.314285,24.704287,24.085714,24.687143,186947600,22.130381
"388",24.871429,24.997143,24.484285,24.544285,189381500,22.002316
"389",24.074286,24.235714,23.571428,23.592857,217103600,21.149431
"390",23.842857,23.928572,23.017143,23.755714,340117400,21.295416
"391",21.285715,23.251429,20.932858,23.145714,469898100,20.748589
"392",23.57,24.052856,23.08,23.751429,265442100,21.291571
"393",23.474285,23.608572,22.635714,22.718571,209904800,20.365686
"394",22.914286,23.285715,22.664286,23.16,158409300,20.7614
"395",23.191429,23.209999,22.002857,22.057142,195178200,19.77276
"396",22.201429,22.778572,21.950001,22.440001,171017700,20.115971
"397",22.540001,22.927143,22.297142,22.84,181295800,20.474541
"398",22.505714,23.171429,22.425714,22.707144,159374600,20.355446
"399",22.842857,22.855715,22.25,22.379999,136159800,20.062181
"400",22.371429,22.557142,21.844286,21.889999,148131900,19.622931
"401",22.202858,22.971428,22.117144,22.948572,172092900,20.571869
"402",22.852858,23.914286,22.571428,23.455715,197852200,21.026485
"403",23.244286,23.735714,23.071428,23.367144,168093100,20.94709
"404",23.408571,24.235714,23.392857,24.221428,178499300,21.712898
"405",24.295713,25.214285,24.238571,24.794285,222826100,22.226427
"406",24.788572,25.612858,24.787144,25.247143,209069700,22.632383
"407",25.425714,25.714285,25.128571,25.614286,210586600,22.961504
"408",25.475714,25.778572,25.405714,25.617144,177825200,22.964066
"409",25.577143,25.678572,25.007143,25.105715,177062900,22.505606
"410",25.081429,25.401428,24.831429,25.055714,138003600,22.460779
"411",24.934286,25.295713,24.544285,24.790001,154051100,22.222586
"412",24.967142,25.277143,24.801428,25.120001,126737800,22.518414
"413",24.924286,25.064285,24.555714,24.898571,134936200,22.319912
"414",25.117144,25.357143,25.081429,25.255714,109902800,22.64007
"415",25.164286,25.175714,24.522858,24.65,121106300,22.097084
"416",24.68,24.982857,24.658571,24.805714,111387500,22.236671
"417",24.758572,25.108572,24.598572,24.952858,119445200,22.368578
"418",25.040001,25.178572,24.678572,24.82,107846200,22.249474
"419",24.70857,24.785715,24.148571,24.218571,149822400,21.710335
"420",24.628571,24.785715,23.571428,23.741428,195190800,21.282612
"421",23.834286,24.097143,23.428572,23.851429,183708700,21.38122
"422",23.694286,23.987143,22.972857,23.031429,185846500,20.646141
"423",22.655714,23.200001,22.521429,22.882856,196721000,20.512957
"424",23.51,23.555714,21.637142,22.559999,261494800,20.223536
"425",22.408571,22.851429,21.398571,21.668571,311256400,19.424435
"426",21.76,22.141428,21.257143,21.658571,243285700,19.415468
"427",21.168571,21.855715,20.857143,21.807142,242783800,19.548651
"428",21.558571,21.558571,20.928572,21.277143,198256800,19.07354
"429",20.290001,21.098572,20.051428,20.051428,230158600,17.974771
"430",19.122858,20.357143,18.878571,19.982857,299959100,17.913298
"431",19.784286,19.787144,18.261429,18.261429,300113800,16.370153
"432",18.652857,19.347143,17.24,19.155714,419063400,17.171816
"433",20.371429,20.6,19.472857,20.129999,357718900,18.045204
"434",19.991428,20.035715,18.665714,18.721428,214178300,16.782516
"435",18.835714,19.4,18.094286,18.120001,320091100,16.243372
"436",18.181429,18.707144,17.878571,18.387142,261753800,16.482847
