AAPL (APPLE INC),171.51,+0.40,
Jan 28 2018 @ 22:49 ET,Bid,171.39,Ask,171.40,Size,2x2,Vol,39143011,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
18 Jan 148.00 (AAPL1826A148-S),0.0,0.0,21.25,25.50,0,75,18 Jan 148.00 (AAPL1826M148-S),0.04,0.0,0.0,0.11,0,89,
18 Jan 148.00 (AAPL1826A148-X),0.0,0.0,21.25,25.50,0,75,18 Jan 148.00 (AAPL1826M148-X),0.05,0.0,0.0,0.16,0,89,
18 Jan 148.00 (AAPL1826A148-Y),0.0,0.0,22.20,24.50,0,75,18 Jan 148.00 (AAPL1826M148-Y),0.0,0.0,0.0,0.11,0,89,
18 Jan 149.00 (AAPL1826A149),25.46,0.0,21.20,23.50,0,6,18 Jan 149.00 (AAPL1826M149),0.07,0.0,0.0,0.04,0,33,
18 Jan 149.00 (AAPL1826A149-3),0.0,0.0,20.25,24.55,0,6,18 Jan 149.00 (AAPL1826M149-3),0.0,0.0,0.0,0.09,0,33,
18 Jan 149.00 (AAPL1826A149-4),0.0,0.0,21.20,23.50,0,6,18 Jan 149.00 (AAPL1826M149-4),0.50,0.0,0.0,0.04,0,33,
18 Jan 149.00 (AAPL1826A149-8),25.69,0.0,20.00,24.55,0,6,18 Jan 149.00 (AAPL1826M149-8),0.03,0.0,0.0,0.09,0,33,
18 Jan 149.00 (AAPL1826A149-A),28.58,0.0,20.25,24.20,0,6,18 Jan 149.00 (AAPL1826M149-A),0.61,0.0,0.0,0.04,0,33,
18 Jan 149.00 (AAPL1826A149-B),28.65,0.0,20.00,24.55,0,6,18 Jan 149.00 (AAPL1826M149-B),0.19,0.0,0.0,0.04,0,33,
18 Jan 149.00 (AAPL1826A149-E),25.46,0.0,21.20,23.50,0,6,18 Jan 149.00 (AAPL1826M149-E),0.25,0.0,0.0,0.04,0,33,
18 Jan 149.00 (AAPL1826A149-I),0.0,0.0,20.25,24.55,0,6,18 Jan 149.00 (AAPL1826M149-I),0.0,0.0,0.0,0.04,0,33,
18 Jan 149.00 (AAPL1826A149-J),0.0,0.0,20.25,24.55,0,6,18 Jan 149.00 (AAPL1826M149-J),0.0,0.0,0.0,0.09,0,33,
18 Jan 149.00 (AAPL1826A149-K),0.0,0.0,20.25,24.55,0,6,18 Jan 149.00 (AAPL1826M149-K),0.0,0.0,0.0,2.13,0,33,
18 Jan 149.00 (AAPL1826A149-O),0.0,0.0,20.00,24.55,0,6,18 Jan 149.00 (AAPL1826M149-O),0.10,0.0,0.0,0.04,0,33,
18 Jan 149.00 (AAPL1826A149-OG),0.0,0.0,19.55,24.55,0,6,18 Jan 149.00 (AAPL1826M149-OG),0.09,0.0,0.0,0.04,0,33,
18 Jan 149.00 (AAPL1826A149-P),0.0,0.0,20.25,24.45,0,6,18 Jan 149.00 (AAPL1826M149-P),0.0,0.0,0.0,0.04,0,33,
18 Jan 149.00 (AAPL1826A149-S),0.0,0.0,20.25,24.55,0,6,18 Jan 149.00 (AAPL1826M149-S),0.61,0.0,0.0,0.04,0,33,
18 Jan 149.00 (AAPL1826A149-X),0.0,0.0,20.25,24.50,0,6,18 Jan 149.00 (AAPL1826M149-X),0.07,0.0,0.0,0.09,0,33,
18 Jan 149.00 (AAPL1826A149-Y),0.0,0.0,21.20,23.50,0,6,18 Jan 149.00 (AAPL1826M149-Y),0.0,0.0,0.0,0.04,0,33,
18 Jan 150.00 (AAPL1826A150),21.21,-3.02,20.60,21.90,31,110,18 Jan 150.00 (AAPL1826M150),0.01,0.0,0.0,0.13,0,809,
18 Jan 150.00 (AAPL1826A150-3),25.13,0.0,19.25,21.90,0,110,18 Jan 150.00 (AAPL1826M150-3),0.04,0.0,0.0,0.13,0,809,
